search_role,title,company,location,description,salary_min,salary_max,created,category
data analyst,Senior Data Analyst - Business Insights,YourHRfolks,"Jaipur, Rajasthan","About Us Punchh is the leader in customer loyalty, offer management, and AI solutions for offline and omni-channel merchants including restaurants, convenience stores, and retailers. Punchh brings the power of online to physical brands by delivering omni-channel experiences and personalization across the entire customer journeyfrom acquisition through loyalty and growthto drive same store sales and customer lifetime value. Punchh uses best-in-class integrations to POS and other in-store systems…",650000.0,1600000.0,2021-05-26T12:51:52Z,IT Jobs
data analyst,Advanced Data Analyst- Configuration Management,Airbus,India,"Job Description: Are you willing to shape the way we work and bring in refreshing Data-driven approaches to ensure better CM for all A/C Programmes? Do you think you have an innovative personality focused at delivering the right solutions for diverse and challenging CM requirements by connecting with people, collating data and collaborating with different Functions? This job will provide you with the perfect opportunity to blend your Data Analysis and Programming skills with the Current and Fut…",,,2025-11-07T16:14:20Z,IT Jobs
data analyst,Sr BI & Data Analyst (REMOTE),Charles River Laboratories,India,"For 75 years, Charles River employees have worked together to assist in the discovery, development and safe manufacture of new drug therapies. When you join our family, you will have a significant impact on the health and well-being of people across the globe. Whether your background is in life sciences, finance, IT, sales or another area, your skills will play an important role in the work we perform. In return, we’ll help you build a career that you can feel passionate about. Job Summary At C…",,,2025-12-17T20:01:18Z,IT Jobs
data analyst,Data Analyst â Retail Analytics,Episeio Business Solutions,"Bangalore, Karnataka","Role Overview As a Lead Data Scientist / Data Analyst , you’ll combine analytical thinking, business acumen, and technical expertise to design and deliver impactful data-driven solutions. You’ll lead analytical problem-solving for retail clients — from data exploration and visualisation to predictive modelling and actionable business insights. Key Responsibilities Partner with business stakeholders to understand problems and translate them into analytical solutions. Lead end-to-end analytics pr…",700000.0,900000.0,2025-11-25T07:14:06Z,IT Jobs
data analyst,AI Data Analyst – Marketing & Sales,Career Maker Consultant BPC,India,"Job Description: AI Data Analyst – Marketing & Sales Role Purpose We are seeking an AI-first Data Scientist to deep-dive into our client and broker data, uncover insights, and drive smarter decisions across marketing and sales. This role is for someone who loves experimenting with code, dashboards, AI tools, and data scraping — a true data geek who can turn raw information into growth strategies. Key Responsibilities Data Analysis & Insights Analyze all client and broker data to identify patter…",,,2025-09-17T23:52:53Z,"PR, Advertising & Marketing Jobs"
data analyst,"Data Analyst, Daily Index Operations",Morningstar,"Mumbai, Maharashtra","Title: Data Analyst, Daily Index Operations Location: Vashi, Navi Mumbai Company: Morningstar is a leading provider of independent investment research in North America, Europe, Australia, and Asia. We offer a wide variety of products and solutions that serve market participants of all kinds, including individual and institutional investors in public and private capital markets, financial advisors, asset managers, retirement plan providers and sponsors, and issuers of securities. Morningstar Ind…",,,2025-11-27T22:44:14Z,IT Jobs
data analyst,Senior Data Analyst - US Shift,Fictiv,"Bangalore, Karnataka","Fictiv Exists to Enable Hardware Innovators to Build Better Products, Faster Fictiv exists to help product innovators create. Fictiv is a global manufacturing and supply chain company that enables organizations to scale globally across Fictiv’s four global manufacturing centers in India, Mexico, China, and the U.S Companies use Fictiv to access high-quality production, optimize supply chain logistics, and mitigate supply chain risk—ensuring they can move from prototype to full-scale manufacturi…",,,2025-11-28T22:53:00Z,IT Jobs
data analyst,Senior Data Analyst - People Analytics,Ciena Government Solutions,India,"As the global leader in high-speed connectivity, Ciena is committed to a people-first approach. Our teams enjoy a culture focused on prioritizing a flexible work environment that empowers individual growth, well-being, and belonging. We’re a technology company that leads with our humanity—driving our business priorities alongside meaningful social, community, and societal impact. As the global leader in high-speed connectivity, Ciena is committed to a people-first approach. Our teams enjoy a cu…",,,2025-12-05T23:10:41Z,IT Jobs
data analyst,Continuous Improvement and S&OP Data Analyst,Emerson,"Pune, Maharashtra","Description Summary This global position will serve as a shared resource for both the Continuous Improvement and S&OP planning teams, playing a crucial role in achieving ISV's strategic priorities. The ideal continuous improvement candidate brings a strategic mindset to determining and refining methodologies that yield the highest quality data and facilitate robust, ongoing analysis. This includes a focus on both the initial collection of information and the systematic tracking of recurring dat…",,,2025-10-22T15:01:11Z,IT Jobs
data analyst,Senior Data Analyst (Rocket Growth),Coupand,"Bangalore, Karnataka","Company Introduction We exist to wow our customers. We know we’re doing the right thing when we hear our customers say, ""How did we ever live without Coupang?"" Born out of an obsession to make shopping, eating, and living easier than ever, we’re collectively disrupting the multi-billion-dollar e-commerce industry from the ground up. We are one of the fastest-growing e-commerce companies that established an unparalleled reputation for being a dominant and reliable force in South Korean commerce.…",,,2025-12-04T23:02:08Z,IT Jobs
data analyst,Engineer - Methods & Tools (Data Analyst),Airbus,India,Job Description: Engineer - Methods & Tools (Data Analyst) About The Team: Methods & Tools is a transverse team working with different core engineering verticals in Airbus. The USP of this team is working in a multi-functional environment providing digital solutions to engineering problems. The team plays an enabler role in various digitization initiatives across Airbus Engineering utilizing the latest technologies and the domain knowledge they have. Some examples of the digital solutions are D…,,,2025-10-07T14:52:24Z,IT Jobs
data analyst,GBS Material Master Data Analyst,Smith & Nephew,India,"GBS Material Master Data Analyst based in Pune or Kuala Lumpur Life Unlimited. At SmithNephew we design and manufacture technology that takes the limits off living. SmithNephew is a portfolio medical technology business focused on the repair, regeneration and replacement of soft and hard tissue. We exist to restore people’s bodies and their self-belief by using technology to take the limits off living. We call this purpose ‘Life Unlimited’. Our 18,000 employees deliver this mission every day, m…",,,2025-11-12T16:21:19Z,IT Jobs
data analyst,08 - Data Analyst and Tools Administrator,Celestica,India,"Req ID: 130857 Remote Position: No Region: Asia Country: India State/Province: Chennai City: Guindy, Chennai General Overview Functional Area: Engineering Career Stream: Design - Software Engineering SAP Short Name: LEN-ENG-DSE Job Level: Level 08 IC/MGR: Individual Contributor Direct/Indirect Indicator: Indirect Summary The Data Analyst and Tools Administrator will be a crucial link between development operations and business intelligence, focusing on the creation of actionable analytics and t…",,,2025-11-30T05:53:29Z,IT Jobs
data analyst,Cloud Administrator,Tata Consultancy Services,"Bangalore, Karnataka","Dear Candidate, Greetings from TCS  TCS is hiring for Skill: AWS Glue Admin, please find the below JD… Experience range – 5 Years Location- Bangalore/Pune/Hyderabad/Bhubaneswar/Chennai/Kochi Skills Required - AWS Glue, AWS IAM, CloudWatch, S3, Athena, Redshift, ETL Concepts, Python, Pyspark. Role& Responsibilities – Usage Profile Management : Create and manage AWS Glue usage profiles to control job and session parameters like: Number of workers Worker types Job timeout and idle timeout values S…",,,2025-12-14T10:27:37Z,IT Jobs
data analyst,Azure Databricks,Tata Consultancy Services,"Hyderabad, Telangana","Azure Databricks SME Subject Matter Expert Role for Recruitment Key Responsibilities Design and implement scalable data pipelines using Azure Data Bricks. Develop ETL processes to efficiently extract, transform, and load data. Collaborate with data scientists and analysts to define and refine data requirements. Optimize Spark jobs for performance and efficiency. Monitor and troubleshoot production workflows and jobs. Implement data quality checks and validation processes. Create and maintain te…",,,2025-12-16T18:14:55Z,IT Jobs
data analyst,Sr. Business Data Analyst & Modeler,Jobdost,India,"Preferred Education & Experience: • Bachelor’s or master’s degree in Computer Engineering, Computer Science, Computer Applications, Mathematics, Statistics, Finance, Economics or related technical or analytical field or equivalent practical experience. Relevant experience of at least 3 years in lieu of above if from a different stream of education. • Well-versed in and 5 years of hands-on demonstrable experience with: ▪ Functional Analysis of Business Capabilities, Business Processes, & Busines…",1000000.0,2000000.0,2022-01-02T04:29:09Z,IT Jobs
data analyst,Power BI Developer/ Data Analyst,GoHyre,"Bangalore, Karnataka","Responsibilities: Ensure and own Data integrity across distributed systems. Extract, Transform and Load data from multiple systems for reporting into BI platform. Create Data Sets and Data models to build intelligence upon. Develop and own various integration tools and data points. Hands-on development and/or design within the project in order to maintain timelines. Work closely with the Project manager to deliver on business requirements OTIF (on time in full) Understand the cross-functional b…",1500000.0,3000000.0,2022-03-18T05:09:42Z,IT Jobs
data analyst,Data Analyst - Senior Associate PMA,TechnoServe,"Kurla, Mumbai","Program Management Associate (PMA) would work closely with the Program Lead. She/he will be accountable for data management, data cleaning, data analysis, reviewing progress, research, and reporting internally all program communications, data management, and analytics. She/he will also be responsible for: Support the Program Lead for program activities data management Support program reporting across multiple thematic areas, Support Finance, Human Resource (HR) and other support function in pro…",,,2025-04-19T01:46:46Z,Admin Jobs
data analyst,Power bi developer Data analyst,Albireo Recruiters Hiring For Accenture,India,Job Description Skill Required Delivery Sales Reporting Designation Power bi developer Qualifications Any Graduation Years of Experience 3 to 14 years What are we looking for Sales Operations Functional Expertise Deep understanding of endtoend sales lifecycle processes including Sales Support Pricing Quoting Bid Proposal Management Contract Lifecycle Order Management and Incentives Sales Transformation Proven experience in leading or supporting largescale sales operations transformation project…,,,2025-11-07T22:11:36Z,Sales Jobs
data analyst,Senior Data Analyst (Dashboards & EDW),PureSpectrum,"Hyderabad, Telangana","Your Responsibilities: Work with Enterprise Data Warehouse (EDW) and Marketplace data stored in MongoDB to support business reporting and analytics needs. Write and optimize Python scripts for data extraction, transformation, and automation of recurring data processes. Develop and maintain dashboards in Superset to visualize KPIs, operational metrics, and business trends. Build and manage data pipelines for efficient data querying and transformation from multiple data sources. Collaborate with …",,,2025-11-17T23:05:17Z,IT Jobs
data analyst,Program Operations Analyst (Data Analyst),Stem,"Delhi, India","About Stem - Driven by human and artificial intelligence – Stem is unlocking energy intelligence. Stem is a global leader reimagining technology to support the energy transition. Turning complexity into clarity, and potential into performance. We help asset owners, operators and stakeholders benefit from the full value of their energy portfolio by enabling the intelligent development, deployment, and operation of clean energy assets. Our integrated software suite, PowerTrack, is the industry st…",,,2025-11-20T22:29:11Z,"Energy, Oil & Gas Jobs"
data analyst,Data Analyst Fintech company only,Talent Pro,"Bangalore, Karnataka","Must have Strong SQL skills (queries, optimization, procedures, triggers) Must have Advanced Excel skills Should have 3 years of relevant experience Should have Reporting  dashboard creation experience Should have Database development & maintenance experience Must have Strong communication for client interactions Should have Ability to work independently Willingness to work from client locations Skills:- Data Analytics",1000000.0,1200000.0,2025-11-26T04:50:08Z,Accounting & Finance Jobs
data analyst,Senior Data Analyst - Tariff Ops,Arcadia,"Chennai, Tamil Nadu","Who We Are Arcadia is the technology company empowering energy innovators and consumers to fight the climate crisis. Our software and APIs are revolutionizing an industry held back by outdated systems and institutions by creating unprecedented access to the data and clean energy needed to make a decarbonized energy grid possible. In 2014, Arcadia set out on its mission to break the fossil fuel monopoly and since then we have been knocking down the institutional barriers to unlock decarbonizatio…",,,2025-11-14T16:21:05Z,"Energy, Oil & Gas Jobs"
data analyst,Data Analyst – Intern/Fresher/Experienced,Gururo,"Vadodara, Gujarat","Location : Vadodara Type : Full-time / Internship Duration (for interns) : Minimum 3 months Stipend/CTC : Based on experience and role About Gururo Gururo is a global leader in practical, career-transforming education. With a mission to equip professionals and students with real-world skills, we specialize in project management, leadership, business analytics, and emerging technologies. Join our dynamic, impact-driven team to work on data-centric products that empower decision-making and transf…",,,2025-12-04T23:07:36Z,IT Jobs
data analyst,Analyst/Data Analyst - Val Rsch,eClerx,"Coimbatore, Tamil Nadu","Description Key Responsibilities Analyze, validate, and prepare address data in the Delivery Logistics system. Generate, interpret, and present accurate reports to support business and operational decisions. Work across multiple systems and tools to gather, manage, and interpret data. Ensure high accuracy and attention to detail in all tasks. Collaborate effectively within the team to achieve process goals. Required Skills & Qualifications Strong analytical and problem-solving skills. Critical …",,,2025-12-10T00:09:42Z,IT Jobs
data analyst,ETF Portfolio / Holdings Data Analyst,CFRA,India,"Department Operations Employment Type Full Time Location India Workplace type Fully remote Key Responsibilities Skills, Knowledge and Expertise Benefits About CFRA CFRA is a leading independent investment insights and data analytics company. Through an unmatched multidisciplinary approach to investment research, including expert lenses on forensic accounting, fundamental, policy, legal, fund, and technical research, CFRA provides actionable analytics to make better investment and business decis…",,,2025-11-26T22:25:23Z,Accounting & Finance Jobs
data analyst,"Data Analyst, Visual Merchandising Finance",E.L.F. BEAUTY,"Ahmedabad, Gujarat","About The Company e.l.f. Beauty, Inc. stands with every eye, lip, face and paw. Our deep commitment to clean, cruelty free beauty at an incredible value has fueled the success of our flagship brand e.l.f. Cosmetics since 2004 and driven our portfolio expansion. Today, our multi-brand portfolio includes e.l.f. Cosmetics, e.l.f. SKIN, pioneering clean beauty brand Well People, Keys Soulcare, a groundbreaking lifestyle beauty brand created with Alicia Keys and Naturium, high-performance, biocompat…",,,2025-12-14T11:37:32Z,Retail Jobs
data analyst,Sr. Financial Master Data Analyst,Warner Bros. Discovery,India,"Welcome to Warner Bros. Discovery… the stuff dreams are made of. Who We Are… When we say, “the stuff dreams are made of,” we’re not just referring to the world of wizards, dragons and superheroes, or even to the wonders of Planet Earth. Behind WBD’s vast portfolio of iconic content and beloved brands, are the storytellers bringing our characters to life, the creators bringing them to your living rooms and the dreamers creating what’s next… From brilliant creatives, to technology trailblazers, a…",,,2025-11-21T22:54:51Z,IT Jobs
data analyst,Data Analyst – Wholesale Banking| Mumbai,CSB Bank,"Mumbai, Maharashtra","Description To support the Wholesale Banking Portfolio Manager by delivering accurate, timely, and actionable data insights that enable effective portfolio monitoring, regulatory compliance, performance tracking and strategic decision-making. Responsibilities Assist in gathering, organizing, and preparing data required for timely and accurate reporting to regulatory bodies (e.g., RBI) and auditors. Support internal compliance efforts by ensuring data accuracy and contributing to audit readiness…",,,2025-10-12T14:52:32Z,Accounting & Finance Jobs
data analyst,Assistant Manager - Data Analyst - Pune,VOIS,"Pune, Maharashtra","About VOIS VOIS (Vodafone Intelligent Solutions) is a strategic arm of Vodafone Group Plc, creating value and enhancing quality and efficiency across 28 countries, and operating from 7 locations: Albania, Egypt, Hungary, India, Romania, Spain and the UK. Over 29,000 highly skilled individuals are dedicated to being Vodafone Group’s partner of choice for talent, technology, and transformation. We deliver the best services across IT, Business Intelligence Services, Customer Operations, Business O…",,,2025-12-17T11:17:05Z,IT Jobs
data analyst,Data analyst and reporting Carbon & Circularity,Hitachi Energy,"Bangalore, Karnataka","The Opportunity The SCM Sustainability Analyst plays a key role in supporting global sustainability initiatives within the supply chain function. This role focuses on data-driven analysis, reporting, and tool management to monitor supplier performance, carbon and circularity metrics, and compliance. The analyst will work across various digital platforms and dashboards to support strategic decision-making and continuous improvement in sustainable supply chain practices. How You’ll Make An Impact…",,,2025-12-17T20:01:03Z,Scientific & QA Jobs
data analyst,Software Engineer (Data Analyst and Python),NetApp,"Bangalore, Karnataka","Job Summary We are seeking a skilled and innovative Data Processing Engineer to join our team. As a Data Processing Engineer, you will be responsible for the design, development and validation of software's for Data Processing Engineering across both cloud and on-premises environments. You will be working closely with a team of senior software developers and a technical director. You will be responsible for contributing to the design, and development and testing of code. The software applicatio…",,,2025-12-10T11:32:28Z,IT Jobs
data analyst,Procurement Excellence Sr. Data Analyst,Xylem,"Bangalore, Karnataka","Xylem is a Fortune 500 global water solutions company dedicated to advancing sustainable impact and empowering the people who make water work every day. As a leading water technology company with 23,000 employees operating in over 150 countries, Xylem is at the forefront of addressing the world's most critical water challenges. We invite passionate individuals to join our team, dedicated to exceeding customer expectations through innovative and sustainable solutions. Key Responsibilities Data C…",,,2025-10-28T11:10:25Z,Scientific & QA Jobs
data analyst,Sr. Financial Master Data Analyst,Warner Bros. Discovery,"Hyderabad, Telangana","_Welcome to Warner Bros. Discovery the stuff dreams are made of._ Who We Are When we say, ""the stuff dreams are made of,"" we're not just referring to the world of wizards, dragons and superheroes, or even to the wonders of Planet Earth. Behind WBD's vast portfolio of iconic content and beloved brands, are the _storytellers_ bringing our characters to life, the _creators_ bringing them to your living rooms and the _dreamers_ creating what's next From brilliant creatives, to technology trailblaze…",,,2025-11-21T05:52:30Z,IT Jobs
data analyst,"Data Analyst, Dutch Language Translation",S&P Global,"Gurgaon, Haryana","About the Role: Grade Level (for internal use): 07 T he Team: You will join a very collegial and professional global team, where you will be able to collaborate and exchange domain knowledge and expertise in the department to provide the highest level of support to the workflow and department. The Impact:  We are seeking a Dutch Linguist to support our research operations in the Private Equity and Venture Capital market.  Your position will be critical to support the PE Profiles workflow as it …",,,2025-09-25T09:38:57Z,Accounting & Finance Jobs
data analyst,Data Architect / Business Data Analyst,NetApp,"Bangalore, Karnataka","Job Summary We are seeking a Product/Data Architect to join our Enterprise Data & Analytics team, focusing on Customer Success (CSOps) and Professional Services Operations (PSOps) . In this role, you will partner with both IT and business stakeholders to transform raw data into actionable insights that drive strategic decisions and enhance customer outcomes. You will design robust data models, architect scalable dataflows, and explore innovative technologies - including advanced analytics, data…",,,2025-11-19T13:09:08Z,IT Jobs
data analyst,Procurement Excellence Sr. Data Analyst,Xylem,"Vadodara, Gujarat","Xylem is a Fortune 500 global water solutions company dedicated to advancing sustainable impact and empowering the people who make water work every day. As a leading water technology company with 23,000 employees operating in over 150 countries, Xylem is at the forefront of addressing the world's most critical water challenges. We invite passionate individuals to join our team, dedicated to exceeding customer expectations through innovative and sustainable solutions. Key Responsibilities Data C…",,,2025-09-14T10:56:44Z,Scientific & QA Jobs
data analyst,"Data Analyst, Dutch Language Translation",OSTTRA,India,"About the Role: Grade Level (for internal use): 07 T he Team: You will join a very collegial and professional global team, where you will be able to collaborate and exchange domain knowledge and expertise in the department to provide the highest level of support to the workflow and department . The Impact: We are seeking a Dutch Linguist to support our research operations in the Private Equity and Venture Capital market. Y our position will be critical to support the PE Profiles workflow as it …",,,2025-11-23T23:05:37Z,Accounting & Finance Jobs
data analyst,Software Technical Expert - Data Analyst,Schneider Electric,India,"BE/B.Tech/MCA in any branch Software Technical Expert – Data Analytics Job Description Mission: Being part of Schneider Electric energy management R&D Center in India, you are responsible to provide more insights which will help business to the selling of Schneider Electric products/solutions and services. Profile: You should be a well-rounded software professional with at least 8 years of experience in Data Modeling, ETL process and Creating the dashboard using Tableau and other BI tools. Expe…",,,2024-07-31T03:02:48Z,IT Jobs
data analyst,Senior Healthcare Research & Data Analyst,Clarivate,India,"We are looking for a Senior Analyst to join our Medtech Data team in Bengaluru, India. This is an amazing opportunity to work on Data analysis, market research (including both primary and secondary research), competitive analysis, forecasting, and conduct custom consulting projects for medical devices and healthcare markets. Clarivate’s Medtech Data team harnesses real-world healthcare data and identifies meaningful insights from large data and metadata sources to help medical device companies …",,,2025-08-17T17:10:59Z,IT Jobs
data analyst,Associate Healthcare Research & Data Analyst,Clarivate,India,"We are looking for a highly motivated Associate Analyst to join the Provider research team in Bengaluru, India. Individuals in this role will contribute to producing custom and syndicated market research for the U.S. provider industry, with a particular focus on healthcare revenue cycle. The successful candidate will have the ability to communicate clearly, concisely, and objectively in written and spoken English—as well as possess the meticulous organizational skills and initiative required to…",,,2025-09-12T23:23:30Z,"PR, Advertising & Marketing Jobs"
data analyst,Data analyst and reporting Carbon & Circularity,Hitachi,India,"Location: Bengaluru, Karnataka, India Job ID: R0109256 Date Posted: 2025-11-24 Company Name: HITACHI ENERGY TECHNOLOGY SERVICES PRIVATE LIMITED Profession (Job Category): Customer Service & Contact Center Operations Job Schedule: Full time Remote: No Job Description: The opportunity: The SCM Sustainability Analyst plays a key role in supporting global sustainability initiatives within the supply chain function. This role focuses on data-driven analysis, reporting, and tool management to monitor…",,,2025-11-26T22:35:07Z,Other/General Jobs
data analyst,Senior Data Engineer,KANINI,"Chennai, Tamil Nadu","Senior Data Engineer Job Summary We are seeking an experienced Senior Data Engineer with strong expertise in Microsoft Fabric, PySpark, Azure Databricks, Synapse Analytics, and SQL . The role involves designing, developing, and optimizing large-scale data pipelines, ensuring data quality and performance, and enabling data-driven insights for business growth. The ideal candidate will have deep hands-on experience in Azure data services and modern data engineering practices. Primary Skills Proven…",,,2025-12-18T08:41:36Z,IT Jobs
data analyst,Informatica Architect,Mastech Digital,"Chennai, Tamil Nadu","Job Title: Informatica Architect Location: Chennai/Hyderabad/Bangalore Experience: 10–15 years overall | 5 years as Architect (Informatica) Budget: Open to discuss Notice Period : Immediate joiner/ Serving notice with less than 60 days/Notice is less than 60 days About the Role We are seeking an experienced Informatica Architect to design and lead enterprise data integration, MDM, and data quality solutions using Informatica platforms. The ideal candidate will provide strategic technical leader…",,,2025-12-03T09:03:46Z,IT Jobs
data analyst,.Net Full Stack Developer,MetLife,"Hyderabad, Telangana","Position Summary: We are seeking an experienced .NET Programmer who also has Data Engineering experience in SSIS, Databricks. The ideal candidate will leverage both traditional software engineering principles and modern data engineering techniques to design, develop, and maintain robust data solutions. This hybrid role is perfect for professionals who have excelled in .NET development and have expanded their skills in cloud-based big data platforms such as SSIS, Databricks, Spark, and the broad…",,,2025-12-20T09:06:37Z,IT Jobs
data analyst,Snaplogic Developer,ValueLabs,India,"Note: Looking for Immediate Joiners Job Title: Data Engineering Specialist (Streaming & Integration) Department: Data & Analytics Reports To: Data Engineering Manager Location: Remote (Global) Employment Type: Full-Time Overview: We are seeking a highly skilled Data Engineering Specialist with deep expertise in real-time data streaming and integration platforms to join our growing data team. The ideal candidate will have hands-on experience with SnapLogic and Confluent Kafka, and will be respon…",,,2025-12-20T09:06:39Z,IT Jobs
data analyst,VP - Data Analytics & Transaction Monitoring Tuning/Optimization [T500-18612],MUFG,"Bangalore, Karnataka","About Us: MUFG Bank, Ltd. is Japan’s premier bank, with a global network spanning in more than 40 markets. Outside of Japan, the bank offers an extensive scope of commercial and investment banking products and services to businesses, governments, and individuals worldwide. MUFG Bank’s parent, Mitsubishi UFJ Financial Group, Inc. (MUFG) is one of the world’s leading financial groups. Headquartered in Tokyo and with over 360 years of history, the Group has about 120,000 employees and offers servi…",,,2025-12-12T09:46:51Z,Accounting & Finance Jobs
data analyst,Analyst - MIS [T500-21414],MUFG,"Bangalore, Karnataka","About Us: MUFG Bank, Ltd. is Japan’s premier bank, with a global network spanning in more than 40 markets. Outside of Japan, the bank offers an extensive scope of commercial and investment banking products and services to businesses, governments, and individuals worldwide. MUFG Bank’s parent, Mitsubishi UFJ Financial Group, Inc. (MUFG) is one of the world’s leading financial groups. Headquartered in Tokyo and with over 360 years of history, the Group has about 120,000 employees and offers servi…",,,2025-11-14T10:32:57Z,Accounting & Finance Jobs
data analyst,Cloud Data Engineer -AVP,MUFG Global Service ,"Bangalore, Karnataka","About Us: MUFG Bank, Ltd. is Japans premier bank, with a global network spanning in more than 40 markets. Outside of Japan, the bank offers an extensive scope of commercial and investment banking products and services to businesses, governments, and individuals worldwide. MUFG Banks parent, Mitsubishi UFJ Financial Group, Inc. (MUFG) is one of the worlds leading financial groups. Headquartered in Tokyo and with over 360 years of history, the Group has about 120,000 employees and offers services…",,,2025-07-16T08:29:58Z,IT Jobs
data analyst,Principal Data Analyst – Input Validation (IV),NielsenIQ,"Vadodara, Gujarat","Job Description Role Overview We are seeking a Principal Data Analyst with strong operational and technical expertise in CIP processes (Global GRFE, SIRVAL, GSRS) within NielsenIQ’s production environment. This role focuses on acquiring, validating, and troubleshooting retailer/vendor data to ensure clean, accurate insights for clients. You will represent local market conditions and execute defined country-specific tasks. Job level: 4 (Internal employees at Level 3 & 4 can apply for this role) …",,,2025-12-24T03:46:08Z,IT Jobs
data analyst,Urgent Opening For AVP AI/ML,IndiaFirst Life,"Mumbai, Maharashtra","Looking for Immediate Joiner or 30days notice period. Skills - Development, AI, ML, Deep Learning, LLM, Gen AI, Agentic Ai, RAG, Recommendation Systems, Predictive Modelling, Regression, Classification, Data Science, EDA, Python, TensorFlow, Pytorch, Scikit-Learn, Cloud, Vertex Ai, Data Scientist, AI & Machine Learning Design, develop, and implement machine learning models for predictive analytics, natural language processing (NLP), computer vision, or recommendation systems. Lead end-to-end AI…",,,2025-12-12T09:48:57Z,IT Jobs
data analyst,Senior Data Engineer,Ascendion,"Bangalore, Karnataka", We’re Hiring – GCP Data Engineer (Senior & Lead) ☁️ Are you passionate about building scalable data solutions and working with cutting-edge cloud technologies? Join our Data Engineering Team as we expand and drive innovation!    Open Positions: Senior GCP Data Engineer (6–9 years) Lead GCP Data Engineer (9–12 years)  Location: Bangalore/Hyderabad/Pune/Chennai ⏰ Notice Period: Immediate to 15 Days Joiners Preferred! ⚡  Key Responsibilities: ✅ Design & implement data solutions using BigQuery and…,,,2025-11-30T09:47:29Z,IT Jobs
data analyst,Senior Technical Business Analyst – Asset Management / Finance Data Mart,Avensys Consulting,India,"Avensys is a reputed global IT professional services company headquartered in Singapore. Our service spectrum includes enterprise solution consulting, business intelligence, business process automation and managed services. Given our decade of success, we have evolved to become one of the top trusted providers in Singapore and service a client base across banking and financial services, insurance, information technology, healthcare, retail and supply chain. Job Summary: Minimum 10 years’ experi…",,,2025-12-25T13:39:33Z,IT Jobs
data analyst,Data Engineer,loanDNA,"Chennai, Tamil Nadu","Job Overview: We are seeking an experienced Snowflake Developer with a minimum of 5 years of hands-on experience in Snowflake development, integration, migration, and deployment. The ideal candidate will be responsible for designing, implementing, and optimizing Snowflake solutions, ensuring efficient data architecture, and supporting our data-driven decision-making processes. Key Responsibilities: • Snowflake Development: o Design, develop, and optimize complex data models, tables, views, and …",,,2025-12-12T09:50:40Z,IT Jobs
data analyst,Data Engineer,People Tech Group Inc,"Bangalore, Karnataka","We are Hiring - Data Engineer Bangalore! Job Title: AWS Data Engineer Location: Bangalore Experience: 5Years Notice : Immediate Joiners Job Summary: We are looking for a skilled and experienced Data Engineer with over 5 years of experience in data engineering and data migration projects. The ideal candidate should possess strong expertise in SQL, Python, data modeling, data warehousing, and ETL pipeline development. Experience with big data tools like Hadoop and Spark, along with AWS services s…",,,2025-12-19T08:58:57Z,IT Jobs
data analyst,Data Modeler,R Systems,"Pune, Maharashtra","Job Description NOTE- We are looking for a person with Finance and Asset Management experience We are seeking a highly skilled Databricks Architect with deep expertise in Databricks features including Delta Lake, Unity Catalog, Databricks SQL , and strong experience in Azure Data Factory (ADF) . The ideal candidate will design and optimize large-scale data platforms, ensure governance and security compliance, and drive innovation in advanced analytics and machine learning workflows. 8 years of …",,,2025-11-29T10:05:35Z,IT Jobs
data analyst,Senior ETL Developer,Accelirate Inc.,"Pune, Maharashtra","Job Title: Senior ETL Developer We are seeking an experienced Senior Data Engineer to design, develop, and optimize scalable data pipelines and cloud-based data platforms. The ideal candidate will have strong hands-on experience with ETL/ELT development, data modeling, and modern data engineering tools. This role will focus on building reliable, high-performance data solutions that support analytics, operations, and business decision-making. Key Responsibilities Design, build, and maintain scal…",,,2025-12-10T16:50:23Z,IT Jobs
data analyst,Database Administrator (Snowflake),Netstratum Technologies,"Kochi, Ernakulam","Netstratum is a global product development company specializing in custom software and enterprise IT services. With teams across ten global locations, we combine local insight with global expertise to deliver innovative, purpose-driven solutions. As a leader in telecom tech, we build secure, high-performance Unified Communication Systems used by Tier-1 providers, enterprises, and governments. Our in-house AI platform is built for scale, security, and real-world impact. Join a vibrant, diverse t…",,,2025-11-06T03:03:06Z,IT Jobs
data analyst,Azure Data Engineer with Microsoft Fabric Analytics Engineer,PwC,India,"Position: Azure Data Engineer / Microsoft Fabric Analytics Engineer Experience: 5-10 Years Location: Bangalore Type: Full Time Certifications: Azure Data Engineer Associate (DP-203), Microsoft Fabric Analytics Engineer Associate (DP-600 / DP-700) – Preferred About the Role: We are seeking an experienced Azure Data Engineer / Microsoft Fabric Analytics Engineer to join our data engineering team. The ideal candidate will have a strong background in designing, building, and maintaining scalable da…",,,2025-12-06T01:28:38Z,IT Jobs
data analyst,Program Project Manager,Algonomy,"Bangalore, Karnataka","Role: Project Manager/Program Manager Location: Bangalore, India At Algonomy, we believe the future of our economy is Algorithmic, where businesses will develop resilient, adaptive and agile decisioning abilities that will constantly test and refine AI-driven actions to create the best personal experience for every individual customer at scale. We aim to become the algorithmic bridge between consumers and brands/retailers, and to lead our customers through the Algorithmic transformation imperat…",,,2025-12-10T16:54:19Z,IT Jobs
